Title,Abstract,Keywords,itr,Label
amperometric photosensor based acridine orange tio,authors novel sensor chlorogenic acid cga detection quantification food samples photosensor based composite titanium dioxide tio acridine orange ao synergism ao tio revealed visible led light irradiation high photocurrents cga compared component composite material detection limit mol linear response range mol cga detection achieved selectivity sensor tested using common interferents samples containing chlorogenic acid results suggested significant interference analyte response indicating good selectivity finally photosensor successfully applied determination cga samples coffee tea apple juice recoveries ranging suggesting good accuracy proposed method,photosensor tio acridine orange chlorogenic acid,1140,195
governance options science policy interfaces biodiversity ecosystem services comparing network versus platform approach,science policy interfaces spis expected linear model scientific policy advice creating spaces exchange dialogue policy knowledge given environmental issues require inter transdisciplinary approaches spis account variety knowledge types views interests scientists policymakers decision makers acceptance durability spis depend largely perceived legitimacy credibility knowledge gathering processes providing additional challenges internal organisation interplay different knowledge types decision making far neutral reflexive approach required design spi capable learning past experiences aim article discuss governance arrangements best support development effective legitimate spi european biodiversity politics analyse different options facilitating implementation network knowledge approach approach developed improve interface diverse knowledge holder communities decision making processes biodiversity ecosystem services field multi scalar multi dimensional problems arise article develop discuss stylized extreme governance models starting point informal network model entirely depends dedication individuals versus formalized platform model predominantly based needs interests organisations involved discuss pros cons models reaching objectives developing sound governing processes network knowledge discussion derive recommended design reflexive governance network context european union finish discussing general lessons learnt,science policy interface european environmental policy research networking biodiversity ecosystem services,1500,243
test isospin conservation thermal neutron induced fission,recently shown general trends partition wise fission fragment mass distribution heavy ion induced compound nuclear cn fission heavy nuclei reproduced reasonably using concept isospin conservation providing direct evidence isospin conservation neutron rich systems jain et al nucl data sheets garg jain phys scr jain garg epj web conference garg et al phys scr paper test concept isospin conservation reproduce fission fragment mass distribution emerging thermal neutron induced cn fission reaction mathrm cm mathrm th hbox earlier use kelson conjectures kelson proceedings conference nuclear isospin academic press new york assign isospin neutron rich fragments emitted fission suggest formation fission fragments isobaric analogue states calculate relative yields neutron rich fragments using concept isospin conservation basic isospin algebra calculated results reproduce experimentally known partition wise mass distributions quite highlights usefulness isospin approximately good quantum number neutron rich nuclei allows predict fragment distribution symmetric cd cd partition heavier mass fragment distributions measured far,isospin conservation isobaric analogue states neutron rich nuclei thermal neutron fission fission fragment distribution hw sf ec gh,751,133
solidification thick slab mold supplementary cooling,model proposed solidification thick ingots supplementary cooling means mandrels basis overheating liquid steel classical eliminated effectiveness supplementary cooling means mandrels shown computational experiment solidification rate significantly modified means,thick steel slab mandrels mold continuous casting,556,106
venous arterial difference,venous arterial difference proposed index adequacy tissue perfusion shock states hypothesized variation paco hyper hypocapnia impact partly microcirculation adaptations healthy males volunteered participate hypocapnia condition hco subjects asked hyperventilate asked breathe gas mixture containing hypercapnia condition hco conditions randomly assigned blood gases measured baseline condition min hco hco condition microcirculation assessed muscle reoxygenation slope measured near infrared spectroscopy following vascular occlusion test skin circulation vivo reflectance confocal microscopy significantly increased hco tended decrease hco non significant hco induced moderate increase resaturation slope nirs oxygenation skin microcirculatory blood flow significantly dropped hco remained unchanged hypercapnia results warrant cautious interpretation indicator tissue perfusion respiratory alkalosis,venous arterial difference microcirculation hypocapnia hypercapnia healthy volunteers,1997,340
quality imported coal impact environmental degradation,term quality coal specifies properties characteristics influence behavior uses view point study conducted comprehensive investigation major minor properties imported coal tamabil area bangladesh laboratory analysis major properties include sulfur content moisture content ash content volatile matter fixed carbon calorific value minor properties include arsenic chromium cr cobalt copper cu zinc zn manganese mn lead pb detailed comparison obtained results standard values coal properties description statistical correlations analyzed qualitative properties offered research addition analysis leaching combustion coal revealed possible modes environmental degradation imported coal results observed imported coal contains medium high levels ash content volatile matter sulfur content contains low level fixed carbon low calorific value kcal kg results significant concentration trace minor elements chromium ppm cobalt ppm copper ppm zinc ppm manganese ppm arsenic ppm lead ppm suggests imported coal poor grade lignite coal comparison obtained results standard values coal properties indicates poor grade rank imported coal obvious comparison concentrations trace elements imported coal higher allowable standard limit environment conclusion research recommends attention paid avoid utilization poor grade coal necessary steps taken import good quality coal safe sustainable environment country,tamabil imported coal quality leaching combustion environmental degradations,1367,223
site survey household scale anaerobic digestion sri lanka,study household scale anaerobic digestion ad sri lanka surveyed visiting ad users process flow material flow management biogas bioslurry changes waste disposal cost construction analyzed terms encountered problems main motivations use ad energy recovery biogas proper organic waste management instead open dumping hand problems clarified ad uneconomically oversized input waste maintenance poor especially lack desulfurizer reduce lifetime gas utilization equipment imbalance supply demand biogas problem example low supply includes case limited livestock waste fed ad necessary supply accessories lightning electricity generation users overcome problems technical guidance assistance national local government necessary possible scenario extending appropriate use ad future waste management savings maximized use biogas slurry implementation cost ad recovered year period,sri lanka household scale anaerobic digestion site questionnaire survey biogas slurry cost recovery,941,163
review propriety thyroid ultrasound referrals follow burden,purpose overdiagnosis thyroid nodules indolent thyroid cancers represents increasing burden health services thyroid ultrasound imaging representing initial entry point thyroid nodule diagnostic pathway aim study retrospectively review thyroid referrals single irish hospital determine stated indications imaging appropriate review results scans assess follow required case methods patient demographics scan indications results outcomes retrospectively reviewed patients undergoing thyroid ultrasound data analyzed using graphpad prism expressed mean standard deviation results total patients mean age years female ultrasound scans performed appropriate indications order follow known thyroid nodular disease malignancy assess new thyroid goiters discrete neck lumps follow incidental findings imaging modalities scans requested absence palpable goiter mass choking neck pain swallowing complaints hypo hyperthyroidism miscellaneous reasons deemed potentially likely inappropriate scans approximately half identified nodule deemed unlikely related stated symptoms subsequently required follow imaging biopsy cases malignancy identified conclusions center significant percentage thyroid scans subsequent follow potentially avoidable,thyroid ultrasound thyroid nodule hyperthyroidism hypothyroidism fine needle aspiration thyroid cancer goiter,1948,330
considering man island assessing bioenergy systems regional lca context review,purpose environmental burdens associated bioenergy production occurring regional level need produce regional spatially representative life cycle assessment bioenergy systems hand assessments need account global cumulative impacts bioenergy life cycle order support effective regional policy measures decision making challenge balance words define regional context bioenergy assessments order complement life cycle thinking aim review answer question providing overview important considerations assessing bioenergy systems regional lca context contexts intersect aims help guide orientate lca practitioners interested including regional aspects bioenergy studies review explores integration regional life cycle contexts relation bioenergy systems products methods step define mean term region look potential burdens relating bioenergy systems relationship regional context step explore life cycle thinking intersection regional lca contexts providing examples literature discuss benefits limitations regionally contextualized life cycle approaches relation bioenergy production systems alternative biomass uses results discussion regional contexts identified help orientate life cycle thinking aiming assess regional nonregional environmental implications bioenergy production contexts follows regional regional row regionalized added value implementing regionally contextualized life cycle approach ability include greater regional spatial details assessments bioenergy production systems losing links diversity global supply chains providing greater geographical regional insight potential burdens reduced shifted burdens avoided associated regional production activities optimized mitigate burdens conclusions use different regional contexts proposed paper useful orientate life cycle thinking relation bioenergy systems assessment alternative novel bio based systems,bioenergy biomass lca regional spatial,1304,212
microbiological synthesis stereoisomeric hydroxytestololactones hydroxytestolactones,microbiological synthesis hydroxy derivatives testololactone testolactone developed based bioconversion dehydroepiandrosterone dhea fungus isaria fumosorosea vkm subsequent modification obtained stereoisomers actinobacteria stage included obtaining stereoisomers dihydroxy oxa homo androst en ones preparative amounts conversion hydroxylated lactones obtained selected actinobacteria nocardioides simplex vkm ac saccharopolyspora hirsuta vkm ac streptomyces parvulus mtoc ac studied transformation dihydroxy oxa homo androst en corresponding stereoisomer simplex vkm ac hirsuta vkm ac hydroxy oxa homo androst ene dione hydroxytestololactone hydroxy oxa homo androsta diene dione hydroxytestolactone obtained molar yields range mol crystalline products hydroxytestololactone hydroxytestolactone corresponding hydroxy stereoisomers isolated structures confirmed mass spectrometry nmr spectroscopy analyses strain str parvulus mtoc ac transformed dihydroxy oxa homo androst en ones corresponding keto ene analogs ketosteroid dehydrogenase activity activity actinobacteria steroid lactones hitherto unreported results contribute knowledge metabolic versatility actinobacteria capable transforming steroid substrates applied synthesis potential aromatase inhibitors,bioconversion steroid lactone actinobacteria nocardioides simplex saccharopolyspora hirsuta,1676,273
